Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-07 12:06:46.548905,4529.72727227,3725.5757572,4067.12121171,4158.30302989,3862.0909087,515.1515151,3880.63636325,696.484848415,4265.45454503,515.1515151,4453.48484804,189.575757557,4174.78787837,3387.6363633,4324.18181775,3049.69696939,4962.96969647,3255.75757543,4160.36363595,486.303030254,4394.75757532,4166.54545413,4202.60606019,24.7272727248,4812.54545406,3268.12121179,4465.33333289,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.557642,4533.8484844,3725.5757572,4064.03030262,4158.30302989,3860.54545416,515.1515151,3880.12121173,696.484848415,4259.27272685,515.1515151,4447.30302986,189.575757557,4171.18181776,3387.6363633,4325.72727229,3049.69696939,4963.9999995,3255.75757543,4161.90909049,482.181818134,4394.75757532,4166.54545413,4201.57575716,24.7272727248,4811.51515103,3268.12121179,4468.42424198,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.566867,4534.87878743,3725.5757572,4060.42424202,4158.30302989,3858.4848481,515.1515151,3880.63636325,696.484848415,4258.75757533,515.1515151,4452.45454501,189.575757557,4173.24242383,3387.6363633,4331.39393896,3049.69696939,4966.57575708,3255.75757543,4159.84848443,482.181818134,4390.12121168,4166.54545413,4203.1212117,24.7272727248,4814.09090861,3268.12121179,4467.39393895,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.573114,4533.33333288,3725.5757572,4062.99999959,4158.30302989,3860.54545416,515.1515151,3880.63636325,696.484848415,4262.87878745,515.1515151,4453.99999955,189.575757557,4176.33333292,3387.6363633,4329.3333329,3049.69696939,4967.09090859,3255.75757543,4156.24242383,482.181818134,4390.6363632,4166.54545413,4200.54545413,24.7272727248,4814.60606012,3268.12121179,4465.8484844,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.579972,4531.78787833,3725.5757572,4064.54545414,4158.30302989,3860.03030264,515.1515151,3880.63636325,696.484848415,4257.7272723,515.1515151,4445.2424238,189.575757557,4176.33333292,3387.6363633,4327.78787836,3049.69696939,4962.96969647,3255.75757543,4158.8181814,482.181818134,4393.72727229,4166.54545413,4199.5151511,24.7272727248,4813.57575709,3268.12121179,4464.81818137,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.587352,4534.87878743,3725.5757572,4062.48484808,4158.30302989,3858.4848481,515.1515151,3881.66666628,696.484848415,4251.03030261,515.1515151,4442.15151471,189.575757557,4171.69696928,3387.6363633,4329.84848442,3049.69696939,4961.42424193,3255.75757543,4167.06060564,482.181818134,4398.87878744,4166.54545413,4202.60606019,24.7272727248,4817.1818177,3268.12121179,4466.87878743,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.595103,4541.06060561,3725.5757572,4064.54545414,4158.30302989,3864.15151477,515.1515151,3880.63636325,696.484848415,4260.81818139,515.1515151,4453.48484804,189.575757557,4170.66666625,3387.6363633,4327.78787836,3049.69696939,4968.63636314,3255.75757543,4170.15151473,482.181818134,4409.18181774,4166.54545413,4205.18181776,24.7272727248,4823.8787874,3268.12121179,4476.66666622,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.604759,4542.60606015,3725.5757572,4071.75757535,4158.30302989,3866.72727234,515.1515151,3879.0909087,696.484848415,4272.15151472,515.1515151,4460.69696925,189.575757557,4181.99999958,3387.6363633,4325.21212078,3049.69696939,4970.6969692,3255.75757543,4166.54545413,482.181818134,4412.27272683,4166.54545413,4204.15151473,24.7272727248,4824.90909043,3268.12121179,4484.39393895,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.612039,4541.06060561,3725.5757572,4073.3030299,4158.30302989,3862.60606022,515.1515151,3880.63636325,696.484848415,4265.45454503,515.1515151,4453.48484804,189.575757557,4184.57575716,3387.6363633,4321.09090866,3049.69696939,4963.9999995,3255.75757543,4160.87878746,482.181818134,4403.51515107,4166.54545413,4202.09090867,24.7272727248,4822.33333285,3268.12121179,4480.78787834,70.0606060536,42.0,42.0,?
2017-08-07 12:06:46.619841,4537.96969652,3725.5757572,4068.66666626,4158.30302989,3863.63636325,515.1515151,3883.21212082,696.484848415,4255.15151473,515.1515151,4446.78787834,189.575757557,4173.75757534,3387.6363633,4318.51515108,3049.69696939,4962.96969647,3255.75757543,4159.84848443,482.181818134,4401.45454501,4166.54545413,4202.60606019,24.7272727248,4820.78787831,3268.12121179,4475.63636319,70.0606060536,42.0,42.0,?
